,key_0,id,imdb_id,original_title,poster_path,score
662,1486,1639,tt0120179,Speed 2: Cruise Control,/iHktqeAGoJpENiiuXfsXaHmhr7D.jpg,4.3389500799251035
3071,10464,791,tt0432291,The Fog,/qZ3Prt6jBvCWI08MsS9cPMM5lMi.jpg,4.3461281745090785
5988,29939,94365,tt1883367,The Human Centipede 3 (Final Sequence),/sxyl4KEFAMKzdui2gtRhWCtxmAx.jpg,4.352668015107796
1984,4963,11535,tt0246894,Rollerball,/5Wquo3EjfDpK7S1BHcybuC3TZDO.jpg,4.36751591298393
2879,9444,10304,tt0367093,Starship Troopers 2: Hero of the Federation,/xoQpKbnmGPuZub5NAPQq18hDEWA.jpg,4.377879812561933
183,388,11667,tt0111301,Street Fighter,/1Q5YdK91oJBXJcbCuZhKXeY4vP1.jpg,4.402167455439268
3888,13662,17532,tt1231277,S. Darko,/dAol6pkKEX7zM1rICqPgUWmas2S.jpg,4.403364037092129
1144,2529,11411,tt0094074,Superman IV: The Quest for Peace,/q1P6UHWdrtZNkmdnoprV0ILfLlr.jpg,4.40438384264298
4808,19342,71668,tt1714203,Piranha 3DD,/xua3x47piJTIRCVtVGjzXPDrbsN.jpg,4.410456338256805
251,541,9607,tt0108255,Super Mario Bros.,/bmv7fmcBFzjnJvirfAdZm75qERY.jpg,4.41727355861943
6388,37478,37265,tt0104014,Così fan tutte,/h5xsSUCkXCd0696K5A9hkmgaERE.jpg,4.418643118842237
3124,10701,168705,tt0383222,BloodRayne,/qCrvpGxWjOh7tVLxyqWLR65ZuWX.jpg,4.41927223584643
2303,6438,8046,tt0299930,Gigli,/hy4HOGwrWc8et7jUJFzE9getbsp.jpg,4.428839527491865
5770,26563,166424,tt1502712,Fantastic Four,/g23cs30dCMiG4ldaoVNP1ucjs6.jpg,4.441552825141837
5828,27926,307663,tt3480796,Vice,/gwiY5RJFYSjsoSwoeeo6AbGYjpb.jpg,4.480712512663544
1664,3872,11849,tt0190374,Dungeons & Dragons,/hHoMqCagqwnahAvwkzCOp6MPMWC.jpg,4.484618222576676
4236,15771,40264,tt1666186,Vampires Suck,/ug9h5BJ5XX9bp1nJI6Ji07QC3sx.jpg,4.485031842257301
236,514,5550,tt0107978,RoboCop 3,/9bRy74b1AZEJD5omzWPPAptPfa7.jpg,4.497424531051097
3577,12324,2312,tt0460780,In the Name of the King: A Dungeon Siege Tale,/bV18YaqIQh0aeOWnfkOvD0iqfUJ.jpg,4.502889940585692
3961,14095,26914,tt0105643,Troll 2,/h03Huw7ZoyDrgBDc7GteshoJsnx.jpg,4.504333287655623
5227,22015,225703,tt2403029,The Starving Games,/2oBKmN1s9eNfkUde5M1RSWelMCl.jpg,4.513597978873684
2281,6333,10152,tt0329028,Dumb and Dumberer: When Harry Met Lloyd,/eizaKEnF108gQq89f1XsAyVxjq6.jpg,4.5248907564538525
6828,45343,248705,tt2441982,Les Visiteurs: La Révolution,/2tR5dfWONNPCjW3Th2RFk2DuLsY.jpg,4.5329035808874645
619,1340,17692,tt0085750,Jaws 3-D,/5Daud3zyxB4FgZPgqnvRer6FOU7.jpg,4.534175263336146
5312,22683,21435,tt0445800,Les Bronzés 3 : Amis pour la vie,/a3I0QQONFG9lxbzIiwVjUUYXuSJ.jpg,4.5576948222094815
6314,35328,351819,tt4667094,Fifty Shades of Black,/dwvA1Ht4e0ydhG66qIbCd8BbZXe.jpg,4.557978500336465
5380,23110,188207,tt1043726,The Legend of Hercules,/eIHrBHeqfQodgEjSPdZWh9b5lV3.jpg,4.560084922501568
1178,2605,332,tt0141369,Inspector Gadget,/kvlKBGtyyNVyGJB72aD1vwPk2d4.jpg,4.567556910002423
2647,7743,11546,tt0110857,Police Academy: Mission to Moscow,/mpUOqZcs7VVg9LrVPRZKAGPiTT2.jpg,4.578819198619149
4957,20314,87818,tt1333125,Movie 43,/cJvaW8eZCFS7JncM6HRKyykVTYC.jpg,4.6021080085088855
4887,19745,46429,tt0829176,Gallowwalkers,/7WTMxkdCPlp3BYT0bqPHVrE7SUR.jpg,4.605904071419994
304,720,11867,tt0115624,Barb Wire,/7i4kiXdS79K39BTSYJskartxfe7.jpg,4.608004983120496
2134,5554,10285,tt0107254,Jason Goes to Hell: The Final Friday,/8yLdCrD1Eh6eoGTIIQ4jNBFLkUb.jpg,4.616820758569816
3844,13441,15268,tt0891592,Street Fighter: The Legend of Chun-Li,/8FJ8A4R48mqM6zoGB9uOlPisZmr.jpg,4.622528162261429
6287,34584,332502,tt3774790,400 Days,/gi1wfVjtJ0HlkuvvnPhv0yveyXO.jpg,4.622883605967196
3614,12449,12177,tt0811138,The Love Guru,/q3g4UFCMPqbKXfc3qMOsYQBOGbl.jpg,4.63259382043378
6488,39161,168098,tt0775440,Cell,/c5N6Pw3P6TqQnGcqiVkhO9u85KB.jpg,4.645437325899211
5345,22883,160070,tt1540767,Apartment 1303 3D,/5U2XEdcyELojXDEu17m4M9KwBoA.jpg,4.64711927068738
5266,22327,86331,tt1879030,Q,/9Jg9s4yTEndNmy1SSXRF9jdxY9D.jpg,4.655772284111512
1647,3848,11531,tt0229260,Book of Shadows: Blair Witch 2,/2XZFTGZIvvgzbk8dw9vMywb5LZr.jpg,4.662728159869056
5447,23495,82657,tt1975159,Flight 7500,/8fJBq78VRKoV9e3WE0H2xfmQm2B.jpg,4.672734453934409
3723,12920,15206,tt0804507,La terza madre,/sGFOggXN12CcSXD01hSAIaEoSgs.jpg,4.6737004223086585
2203,5875,10628,tt0257568,Kangaroo Jack,/a6kZTRfKtBWe7x4mCRvL4IOpEoZ.jpg,4.674024192529338
2986,10105,14199,tt0424774,The Adventures of Sharkboy and Lavagirl,/wRwwPkulIpViuq6DsrPabb30lCD.jpg,4.677480532336053
4180,15343,20533,tt1075747,Jonah Hex,/fhpl0NYcwQ8oUmur30L0ANOay4L.jpg,4.680143402045144
6779,43887,26264,tt0322389,George of the Jungle 2,/pcAR6lgRzt8aOzUxFpgapsrpCvD.jpg,4.687111685145132
1074,2349,16780,tt0110978,Texas Chainsaw Massacre: The Next Generation,/eSg1yVW3R2iIj5WqMvua5MQeJsF.jpg,4.6915336609043745
3791,13175,11127,tt0844760,Starship Troopers 3: Marauder,/eozyEucy6yepxJVVQzD7B8Qx73h.jpg,4.692766913732962
5033,20791,4258,tt0795461,Scary Movie 5,/zYptQLRnePlv5rYg2kYOCZ3C31Q.jpg,4.693288258816736
4110,14886,17473,tt0368226,The Room,/zYM0l2XBkwxJQQBCmi9A6zEUJX0.jpg,4.69594502432593
6076,31401,316002,tt1137470,Accidental Love,/osuJAcyYCHHFeqHmgUjzzPytoyF.jpg,4.6960056024914065
5784,27460,59722,tt1846444,2012: Ice Age,/o1qvsFNVMfzPvfzCUCOeaGiQhOo.jpg,4.69815055205409
6339,35975,276905,tt1594972,Norm of the North,/qv09dxeJoNQIbalsl47yObGgcc5.jpg,4.704334910878537
6107,31753,3602,tt0469111,I'll Always Know What You Did Last Summer,/hYMAHn28MCkgbTBQom3UmvzUYhN.jpg,4.709103607566943
6733,43003,19766,tt0301454,Inspector Gadget 2,/sMF3aqLUOrt9OhxcpZKPLkT0Mjp.jpg,4.70972983701712
3575,12316,10253,tt0372873,디워,/lp6AwCvSOioaGnx0tJZfMgRYDp1.jpg,4.713403180865477
6510,39444,400411,tt4796122,Satanic,/ii9kWdyB8dyAekx5dQ6f2kU88Sy.jpg,4.721157563266188
4493,17642,56288,tt1517489,Spy Kids: All the Time in the World,/eHldUGDNxb4ZPQSPDnGolyFDECa.jpg,4.722235456906383
1578,3632,17711,tt0131704,The Adventures of Rocky & Bullwinkle,/pjzt6S76Uumm0aZtxNAVhDCLQ0P.jpg,4.723935623631455
4633,18404,74997,tt1530509,The Human Centipede 2 (Full Sequence),/kFtAdkCO0vXN2RWu2oMcR9GZ9Hi.jpg,4.724737724610242
1221,2692,10366,tt0176269,Universal Soldier: The Return,/zy0M1Mf7nqiazIYh2D49bbxnlIn.jpg,4.728604507458995
4894,19789,78049,tt1781896,The Scorpion King 3: Battle for Redemption,/i4BjV6dMPaCMiWCf86hPUg0BF9Z.jpg,4.728782303770464
5295,22540,79316,tt2752758,Devil's Due,/u8u1q4eu4Yxt8n1NXuykzguDjj8.jpg,4.732976638803264
3915,13803,17610,tt1045778,Year One,/rrxNnCsUjajdvG9WGm4ePznCqn9.jpg,4.734666115549966
2035,5189,11470,tt0211443,Jason X,/zdfRa0FLVxfRwWhwitIZhjEIepI.jpg,4.741297346423629
313,744,9879,tt0117765,Striptease,/9ghJrXb6ja0yz5ITSsBHx64RLlX.jpg,4.742099286441709
6821,45177,375798,tt5029602,Brice 3,/d42seAYATQhh3y4GxFQkM46jHvq.jpg,4.746665254714788
5790,27651,250066,tt2923316,American Heist,/eqqf7DvhOBaEHiqLMkMMp0e8wzp.jpg,4.746665254714788
930,2044,9320,tt0118661,The Avengers,/7cJGRajXMU2aYdTbElIl6FtzOl2.jpg,4.748059204323969
4994,20529,146203,tt2034139,The Last Exorcism Part II,/jsk1EBoGZsXxiafwEhxnx83hOuR.jpg,4.7492761945488775
6178,32761,57876,tt1519461,Area 51,/cBlBGndRU3OYLONwThy7oDEAegK.jpg,4.752271931552213
4192,15422,10196,tt0938283,The Last Airbender,/zgwRTYWEEPivTwjB9S03HtmMcbM.jpg,4.759661641553866
4658,18609,71676,tt1071875,Ghost Rider: Spirit of Vengeance,/tqwWzmp5ISh64SJbNKQ9fyItnDj.jpg,4.760476298506809
2328,6538,2830,tt0270980,My Boss's Daughter,/du7joY11DJZeXXph7FwkJ3uo7om.jpg,4.768608825243465
5746,25987,244688,tt3138104,The Hungover Games,/oSAV5nd7CNYXKGbUjfceaoVBETo.jpg,4.769969528873822
6041,30594,293452,tt2364897,The Disappointments Room,/htnXSuO0gMawdCfOZwFEs8kMCl8.jpg,4.7782875736326496
6311,35220,329833,tt1608290,Zoolander 2,/u2s2WOskiEH71WbGCZehZ0shduO.jpg,4.7840323567421645
5529,24010,282813,tt2799166,The Pyramid,/sPznOfzPXNaorzFrViGN2jOddgs.jpg,4.786785216199059
4081,14754,23988,tt1185266,Stan Helsing,/qGNf73jikJrYWAzzEGnscTmZbvF.jpg,4.787806583651816
4717,18925,13486,tt1104123,The Scorpion King: Rise of a Warrior,/quqsgaoLSct4DzsKb6I7S5wmapw.jpg,4.791331780186267
2071,5342,11442,tt0220506,Halloween: Resurrection,/luqA2pRzJ4OPxiS9zXa0arQljB1.jpg,4.793887793721087
4387,16812,13461,tt0443584,Melissa P.,/1ACzFGoBfppsN5FJDCLK07pwhy5.jpg,4.799398829443701
651,1434,9405,tt0119013,Double Team,/pRGhrtm5zAnsblDI5xXzzwVcHY6.jpg,4.807726496493792
2418,6844,8010,tt0102034,Highlander II: The Quickening,/7W43CXQh6jF9NhnBnlA4BoaFp8W.jpg,4.810823700477894
6621,41149,407559,tt5059406,I Am the Pretty Thing That Lives in the House,/qIlzCuROu5m8Yp9thTYsmLFQMrU.jpg,4.812068377057784
1768,4212,11090,tt0255798,The Animal,/oNxEXmKTZtECHs0bQbI6dQoXYMV.jpg,4.812992325614742
2968,10010,11679,tt0329774,xXx: State of the Union,/sNnciVEuolaZoIzn5v2rP0pjiL0.jpg,4.816372475488376
5794,27671,280002,tt2714380,The Remaining,/61ViFj4qhCWr5tqW53HUSSKLxFD.jpg,4.8196126684449645
2300,6417,12279,tt0338459,Spy Kids 3-D: Game Over,/tethGDyocmatW6Li1NcUBXQo6Oo.jpg,4.824041172390411
5983,29907,145221,tt1935302,Monsters: Dark Continent,/ssnnmRnJVxCFefvxvSQH62RQV04.jpg,4.825231137854725
4306,16190,42684,tt1564585,Skyline,/AdadT2HuwHkYWxbzme4QP77M6Wt.jpg,4.825908012777557
5547,24138,248504,tt3062074,Sharknado 2: The Second One,/4s08U8YMeUIRxSUhBxw3e4EKH3P.jpg,4.834645954894084
4621,18338,76487,tt1560985,The Devil Inside,/xClxu7PoHWMpCHHaqd3ZRdwOCnr.jpg,4.842008671423127
2087,5389,11692,tt0180052,The Adventures of Pluto Nash,/b425fxm8zTgRDcHwFC16KBHJfGn.jpg,4.843968851737683
5948,29519,192712,tt2044801,Kite,/6X9lG1fj3b8QFD7DIcm10L2623L.jpg,4.846072175783216
3296,11372,14620,tt0457297,The Butterfly Effect 2,/nw0qNvyIGiGMvQOTNpxYeERyCn8.jpg,4.847753684394597
1509,3442,889,tt0158622,The Flintstones in Viva Rock Vegas,/nEkMYwctrUH8ueaAcJFZnAEltMX.jpg,4.8499684308152196
6437,38224,332411,tt3212232,I Am Wrath,/1fbNrOS3OLb67d7q5gZ84fPFZD.jpg,4.849973250538088
1747,4137,10477,tt0132245,Driven,/vtPvxgQBoNBFnnnYjS1lb6pLXtv.jpg,4.849973250538088
6130,32100,157544,tt1524575,The Vatican Tapes,/uiKoHzltaCzHOzvef9tU4HKhqsc.jpg,4.853009065578723
6054,30837,331446,tt3899796,Sharknado 3: Oh Hell No!,/hEpMnXqC7bIklSrUN1qPGyKxRBJ.jpg,4.8561323819222775
784,1815,10513,tt0052077,Plan 9 from Outer Space,/tBkJps1poCnVqWbqNfVLgAbb8br.jpg,4.8561323819222775
6685,42096,14564,tt0498381,Rings,/bbxtz5V0vvnTDA2qWbiiRC77Ok9.jpg,4.857988756820206
3450,11926,14125,tt0374563,Captivity,/om0Q8zamIz37CEtbXeoHV9jKlpq.jpg,4.862467553893421
118,252,6280,tt0110216,Junior,/bwt2hkLGKo5KAVMCw4u1umUPhax.jpg,4.8626198523563255
3015,10261,11453,tt0367652,Deuce Bigalow: European Gigolo,/1P8fWex0NzgtPE4cgIUDHrVSARM.jpg,4.865901247264262
5271,22384,119278,tt2025667,Smiley,/3KXmNphZZQhHTnF1YUDBSNOEjFB.jpg,4.865931893408266
2689,8055,14623,tt0167456,Thunderbirds,/4rv0fgJkPnzlDmhaANC72ipz9MT.jpg,4.868350526672292
5664,25028,267806,tt3704538,V/H/S: Viral,/e0z9RMcs3dstmNllNqdsoSfzMTh.jpg,4.872735738377963
6161,32531,354556,tt4600952,Защитники,/r1cJPzC85XsVOzai8MMG9Qe4AH6.jpg,4.87568091257609
6476,39041,257345,tt1878841,The Darkness,/g3IYNRZhWmn9wceOxwVuOqAymZa.jpg,4.875790949348273
1405,3150,9876,tt0105477,Stop! Or My Mom Will Shoot,/sQXdlCaX6demEdOgI1FbV9fX8aO.jpg,4.87646685973834
761,1754,10216,tt0120841,Species II,/3GwIEvxwMcU9tZO6RqkKHVPDn5z.jpg,4.877337414160407
5576,24292,241254,tt1085492,The Prince,/y7jSioitJoolDvn29D0yLJLCk30.jpg,4.878309972136597
1598,3698,12107,tt0144528,Nutty Professor II: The Klumps,/1kDbqYW2Kz5CWSvMUbQblAsIKGc.jpg,4.879269027716616
6347,36090,339547,tt4552524,Jeruzalem,/wx9vNunt4Q9iUbmwWBtzUM5g0SU.jpg,4.880254767504706
3724,12921,8285,tt0831887,The Spirit,/4TlzgL6yW9zI4Y0rGY0LjpmWWKJ.jpg,4.885908621335751
6379,36539,257087,tt3533916,The Veil,/kdm4LBCphAzvr2XbGi6eRJNXeXE.jpg,4.887282886053557
6309,35213,326425,tt4382872,Extraction,/s1yyDZetHVSLoL06ZgkCrWh0MH7.jpg,4.887461911092276
6702,42233,18955,tt1262877,Coco,/5OGNyaEnkjftMhvTfq6VaSVUA4H.jpg,4.89208370266492
652,1436,9360,tt0118615,Anaconda,/DcGgcAAdZnW5A9AV03JTFFjft5.jpg,4.895032566063709
4002,14259,23706,tt0881891,All About Steve,/Ap0Lx5mv2tvE3LL8U3VQfCNdziL.jpg,4.8960754990650495
6489,39184,327040,tt3838728,Bang Gang (une histoire d'amour moderne),/iHXaxv6wEW8XdYF594LMCoySwyQ.jpg,4.8971988488451865
2109,5472,10550,tt0308208,Ballistic: Ecks vs. Sever,/eeWX3tCcQFnC3ZZQuFhWV1Ctypj.jpg,4.8971988488451865
2925,9654,8968,tt0357507,Boogeyman,/uG61rNRVfBx7sHJp42wlN5yLouU.jpg,4.902510839278909
4476,17504,43935,tt1013860,Dylan Dog: Dead of Night,/jFedqY0YQnKAbmFq4HUeKat1gYL.jpg,4.909343712682942
2829,9122,12095,tt0120860,From Dusk Till Dawn 2: Texas Blood Money,/d7bo08grzk9ZYV5W6hatIEszbfZ.jpg,4.909658120617238
6344,36032,331962,tt4019560,Exposed,/9oQnIsNpxNK1JjSTRhn1kobIHU8.jpg,4.911179334712911
6376,36418,298584,tt3832096,Cabin Fever,/4E9EujszaChAzBruxS9BxRcVtIc.jpg,4.9122717520050205
5936,29419,289720,tt1552224,Outcast,/dUIubxF5osHOJxS3mJNWCqTqWn5.jpg,4.913031493878282
4814,19359,79694,tt1433822,The Apparition,/qEHx7H3Gvt1zYM1AyitTA8c2XOH.jpg,4.913031493878282
3175,10894,3093,tt0430912,Basic Instinct 2,/gXzrKzHnMmfWCF5PMYQfNOzCxYl.jpg,4.915067892984825
3168,10858,10067,tt0393735,The Shaggy Dog,/7Ptc3QwmDtmeCp5NW87unOQB2ZN.jpg,4.916786325640814
5461,23564,112160,tt1753584,Chroniques sexuelles d'une famille d'aujourd'hui,/pU2nD3Llaz3Taq5FAaQUg00uJYD.jpg,4.91767423794845
836,1889,11586,tt0076009,Exorcist II: The Heretic,/jIVYbxsp6y80wyfLlnKkRc9rI6Q.jpg,4.918689459547847
6332,35712,329440,tt3387542,The Forest,/ox9y8ia8lGqtkmLZD3YghA7sZkU.jpg,4.919808913644605
40,64,9536,tt0115683,Bio-Dome,/1bAUaipv3gDU1pATGwziyq1VTwZ.jpg,4.920275998130097
4615,18294,71469,tt1093357,The Darkest Hour,/vRfn8Zxm4Xfssb7TFiSMDfpJEn.jpg,4.920670848275142
6359,36241,346651,tt3774802,Pandemic,/o5Zt3nVlDJZLgeRgrhglgymDJym.jpg,4.921224089890684
3152,10813,9920,tt0370032,Ultraviolet,/cZeoFB4FjSe2KTG1BPLhckddFVA.jpg,4.921987257529052
6038,30556,47933,tt1628841,Independence Day: Resurgence,/5CHJs479xWnm3zMDOl94VkKS7MZ.jpg,4.9223757567025
2992,10135,9722,tt0374536,Bewitched,/auUAybijSJ72XuTaPgh0EhvyJ13.jpg,4.923106406680695
3214,11012,4474,tt0465624,My Super Ex-Girlfriend,/aP7lAuOywcuUVk9kVMdj2FNDQy7.jpg,4.925407461011176
1618,3765,12211,tt0144964,Highlander: Endgame,/fmDt68Pj9OiR3pfvNL9qkuhKvi2.jpg,4.928534347306766
5960,29639,259072,tt3612032,Wrong Turn 6: Last Resort,/n6bu9uvIQBTJEmWCGlifTToWxsu.jpg,4.9300118246679006
62,124,27793,tt0110647,The NeverEnding Story III,/driZCEKL79PaCsZNICSU3xd59sk.jpg,4.9341871210747525
6531,39771,390989,tt4831420,Sharknado 4: The 4th Awakens,/jcP3HFXF1BIW9LmBrDusbbDZjBG.jpg,4.935841127299876
1624,3784,12212,tt0192731,Urban Legends: Final Cut,/4WZPn7zUf8rNSPSbDMvNGK3ebCy.jpg,4.9428966937009715
5748,25990,125509,tt2375779,Wrong Turn 5: Bloodlines,/olnVrUyoL2ntBBuipvXBecCbTBX.jpg,4.945254044433156
3825,13336,13788,tt1139668,The Unborn,/dxjxszWxiaYKd5kKoTUpY6jQMzO.jpg,4.947457124485668
2838,9195,5458,tt0196267,Cruel Intentions 2,/cehmfvz2fJtBa1M6a3saRRsj5CD.jpg,4.951894981441873
5601,24438,242512,tt1204977,Ouija,/vHTXN00kJktCbSLV50Vbk9siNiX.jpg,4.954129587905312
3316,11445,2486,tt0449010,Eragon,/5YOPiILsHw2Onsqyev9IYhSZ4Vy.jpg,4.954937492202406
3671,12699,8645,tt0949731,The Happening,/c8Asvr5ORuL9NtaTGZZJsq4heDf.jpg,4.956088563467598
5692,25289,297596,tt1274586,Dying of the Light,/7ghgi6cmgY4MvmpOvPMI7y7rh34.jpg,4.958464958204893
4162,15192,35169,tt0492389,Furry Vengeance,/mnAZVbqg5y8IcgK9HmA5x4Qnank.jpg,4.959883584659392
1686,3905,10577,tt0219653,Dracula 2000,/6YF56U91zP1mQvle83KA1A7CPop.jpg,4.959883584659392
1745,4128,13166,tt0240515,Freddy Got Fingered,/j9OW0LoLHxTokSssf1gGe5P1GUY.jpg,4.9607688022159735
4109,14885,28739,tt0961722,Cabin Fever 2: Spring Fever,/eCL830fKjc3rkKO8RxAcSwrbpfN.jpg,4.96119658225269
6189,32891,263472,tt3605418,Knock Knock,/eynMtjBB1fXsB5vsQylVmsDLmvw.jpg,4.961219326030124
343,854,9306,tt0116654,The Island of Dr. Moreau,/hOJeQXve8W9rNRhdgC1WV3GQJyA.jpg,4.96301300713469
5080,21103,192538,tt2193418,Hammer of the Gods,/sXqv6mUKcEEHI4HYSNyJ9VJf6lS.jpg,4.964367184412311
2065,5318,11982,tt0107438,Look Who's Talking Now!,/kgtTgLOVvMY4QMRSJVMMGKxjqpt.jpg,4.96699642425879
3471,12013,14144,tt0462244,Daddy Day Camp,/2Gpnh4SFMZNqhrMev24tzUpm4qH.jpg,4.9675738161419245
3565,12284,440,tt0758730,Aliens vs Predator: Requiem,/bpA5nTpqb6qLWYwmyN61dViKrRt.jpg,4.970110704334499
49,91,12158,tt0114825,Vampire in Brooklyn,/bH1v8z12ZU7Y6zANgU1B00a86Co.jpg,4.9702204699537385
1027,2269,11825,tt0095882,Police Academy 5: Assignment Miami Beach,/iwYu3FsGSNAaDgRC9i9Z7l1iVFm.jpg,4.971815854299564
1883,4605,10016,tt0228333,Ghosts of Mars,/rBmkaKxRg55zBZr11EGbedFJM0.jpg,4.976097090921204
5046,20895,94901,tt1945062,About Cherry,/8m4cU75IzvsQQ7QovMm3k0VCkoJ.jpg,4.977416136653057
184,400,8011,tt0110027,Highlander III: The Sorcerer,/8ZeckjmtObR3QPjzSm4X656vFS2.jpg,4.977567664796765
2699,8088,11026,tt0204313,Exorcist: The Beginning,/6ZX7GVR6uTTNzYPMNeECXjytAPa.jpg,4.977833917494387
4328,16347,38745,tt1320261,Gulliver's Travels,/7LipqR0RSfPYzZJf2TajeI5598M.jpg,4.9823678204768935
1028,2270,11895,tt0098105,Police Academy 6: City Under Siege,/9mW8fM0PkXvSSmLODTb2OAYEQTY.jpg,4.984124496758411
4818,19385,77948,tt1366365,The Cold Light of Day,/zXhphNKS56VQbVJXqk3OMrjtNNc.jpg,4.986888556103005
2914,9617,9947,tt0357277,Elektra,/fHwqiCBXLUr61aenmuLGolfKNZY.jpg,4.987638380418124
6575,40497,351211,tt1540011,Blair Witch,/kqmGs9q5WZkxKub60K6pU37GdvU.jpg,4.987638380418124
4636,18449,71670,tt1255916,Hostel: Part III,/yElnsRDzujnHDHli5UuAgrCVQsT.jpg,4.988994342650644
866,1944,11158,tt0104437,Honey I Blew Up the Kid,/gwda8CnPAfHGwygclGiKddt60fX.jpg,4.989528224974516
4973,20416,87436,tt1935896,The ABCs of Death,/9rAaRHk7GkYCxjOlBnJLC0kXrSy.jpg,4.992968839069957
3585,12353,6933,tt0479968,One Missed Call,/qdGRVppdGVzV0P8fa8c9Aeae3J6.jpg,4.994113248597574
6577,40504,308529,tt3082898,Kickboxer: Vengeance,/fHwikdzHy8btv7Rn1eRGe9rvLVO.jpg,4.995637792653938
4153,15132,37169,tt1467304,The Human Centipede (First Sequence),/rhy5WMyLVmYQ9PfEM60pg25E3TL.jpg,4.9965458879360325
3458,11962,6589,tt0467110,Underdog,/aczrdq26BPu7GDIhEVrzRgwsjpl.jpg,4.997600757474225
834,1887,10306,tt0095889,Poltergeist III,/v9oUSTqPQggrSJVf3Ekk8Gq1Hd6.jpg,4.999487998282195
4726,18985,93856,tt1991245,Chernobyl Diaries,/sSjARwbHdUabVJs3y1TtoCfpckx.jpg,5.0026010307334134
2720,8185,11045,tt0316732,Taxi,/7ACo6yQbtXjt5bP1EPhkShAizgc.jpg,5.005177344467826
1988,4975,17130,tt0275022,Crossroads,/egIs4cWxn0iBErFKrQ7STckjj49.jpg,5.00984770222625
5781,26983,15587,tt1328642,Safari,/zS8AJT1T9FZpm65T2G4Cz5vFHqq.jpg,5.0122513499496035
1031,2276,11252,tt0155975,Psycho,/5emaTTGS8rnLgZrBS98zqv1XWqE.jpg,5.012993624257076
197,430,9612,tt0106598,Coneheads,/9vuFI0xV1yZfsWr23evJlkRDL8j.jpg,5.016429005293481
1778,4240,10808,tt0240462,Dr. Dolittle 2,/aecUc1LobMV56Doj99ZvJR2dXgG.jpg,5.016851173890832
6274,34339,42436,tt1065329,Natale in crociera,/j4ERGSE5DuSlnbB0q3dpL9MgsWg.jpg,5.01803950079649
5063,21018,82700,tt1815862,After Earth,/d0vReo0jcMhBjCLYZAFqWHcb7Lj.jpg,5.019050353867335
5853,28411,325358,tt2933474,Superfast!,/yP4E5AOuaXGuksQwdUZEwQyhPaA.jpg,5.020982907051017
6306,35122,347969,tt2479478,The Ridiculous 6,/k77xcsBtZMq9zIlTVQV7UBemzXD.jpg,5.022949878164884
3633,12542,11918,tt0426592,Superhero Movie,/7B1u6dXrHM8UOXkSmweZvCMWmlV.jpg,5.0237247723549965
